Date,Description,Reference,Debit,Credit,Balance
27.01.2025,,35814,,"₪ 6,000.00","₪ -248,422.21"
27.01.2025,,99012,,"₪ 1,577.00","₪ -254,422.21"
26.01.2025,,90112,,"₪ 49,000.00","₪ -255,999.21"
26.01.2025,,1108,,₪ 60.00,"₪ -304,999.21"
24.01.2025,,31336,,"₪ 44,000.00","₪ -305,059.21"
24.01.2025,,31332,,"₪ 46,000.00","₪ -349,059.21"
23.01.2025,,4494094,"₪ 150,059.99",,"₪ -395,059.21"
21.01.2025,,150086,,"₪ 5,000.00","₪ -244,999.22"
19.01.2025,,48912,,"₪ 65,000.00","₪ -249,999.22"
19.01.2025,,7546001,"₪ 3,470.74",,"₪ -314,999.22"
17.01.2025,,45827,,"₪ 49,000.00","₪ -311,528.48"
17.01.2025,,45602,,"₪ 49,500.00","₪ -360,528.48"
17.01.2025,,4494088,"₪ 251,808.16",,"₪ -410,028.48"
17.01.2025,,4494087,"₪ 51,886.06",,"₪ -158,220.32"
16.01.2025,,4494093,"₪ 2,517,447.64",,"₪ -106,334.26"
16.01.2025,,880071,₪ 102.00,,"₪ 2,411,113.38"
16.01.2025,,4494094,,"2,650,000.00","₪ 2,411,215.38
₪"
16.01.2025,,620497,₪ 22.00,,"₪ -238,784.62"
16.01.2025,,620497,"₪ 15,200.00",,"₪ -238,762.62"
15.01.2025,,135278,,"₪ 15,200.00","₪ -223,562.62"
12.01.2025,,177126,"₪ 200,000.00",,"₪ -238,762.62"
12.01.2025,,209964,₪ 2.70,,"₪ -38,762.62"
12.01.2025,,177126,₪ 37.80,,"₪ -38,759.92"
12.01.2025,,209964,"₪ 20,539.00",,"₪ -38,722.12"
12.01.2025,,182410,"₪ 10,000.00",,"₪ -18,183.12"
12.01.2025,,176101,"₪ 29,297.00",,"₪ -8,183.12"
10.01.2025,,3066001,,"₪ 500,000.00","₪ 21,113.88"
10.01.2025,,3066001,"₪ 4,500.00",,"₪ -478,886.12"
10.01.2025,,122717,,"₪ 10,000.00","₪ -474,386.12"
08.01.2025,,880071,₪ 28.80,,"₪ -484,386.12"
08.01.2025,,231,,"₪ 13,991.00","₪ -484,357.32"
03.01.2025,,53008,"₪ 20,000.00",,"₪ -498,348.32"
03.01.2025,,53008,₪ 37.80,,"₪ -478,348.32"
02.01.2025,,77914,"₪ 80,000.00",,"₪ -478,310.52"
02.01.2025,,77914,₪ 37.80,,"₪ -398,310.52"
02.01.2025,,176446,,"₪ 20,000.00","₪ -398,272.72"
01.01.2025,,144136,₪ 2.70,,"₪ -418,272.72"
01.01.2025,,144136,"₪ 10,000.00",,"₪ -418,270.02"
01.01.2025,,2,₪ 220.00,,"₪ -408,270.02"
01.01.2025,,551,₪ 54.71,,"₪ -408,050.02"
01.01.2025,,2,"₪ 1,208.47",,"₪ -407,995.31"
31.12.2024,,17730,₪ 46.21,,"₪ -406,786.84"
31.12.2024,,17731,"₪ 3,920.60",,"₪ -406,740.63"
31.12.2024,,96843,,"₪ 5,000.00","₪ -402,820.03"
31.12.2024,,380114,₪ 22.00,,"₪ -407,820.03"
31.12.2024,,380114,"₪ 2,500.00",,"₪ -407,798.03"
30.12.2024,,104831,"₪ 170,000.00",,"₪ -405,298.03"
30.12.2024,,104831,₪ 37.80,,"₪ -235,298.03"
30.12.2024,,92869,,"₪ 2,500.00","₪ -235,260.23"
30.12.2024,,13,₪ 15.36,,"₪ -237,760.23"
25.12.2024,,84555,,"₪ 2,708.00","₪ -237,744.87"
22.12.2024,,80447,,"₪ 5,000.00","₪ -240,452.87"
19.12.2024,,2602612,,"₪ 10,000.00","₪ -245,452.87"
19.12.2024,,7546001,"₪ 3,459.94",,"₪ -255,452.87"
18.12.2024,,50393,,"₪ 48,000.00","₪ -251,992.93"
18.12.2024,,49964,,"₪ 49,500.00","₪ -299,992.93"
18.12.2024,,49737,,"₪ 49,900.00","₪ -349,492.93"
17.12.2024,,4494093,"₪ 150,060.00",,"₪ -399,392.93"
17.12.2024,,98922,,"₪ 30,000.00","₪ -249,332.93"
17.12.2024,,89083,,"₪ 520,000.00","₪ -279,332.93"
17.12.2024,,89081,,"₪ 980,000.00","₪ -799,332.93"
17.12.2024,,4494092,"₪ 2,668,468.86",,"₪ -1,779,332.93"
17.12.2024,,4494091,"₪ 1,208,366.41",,"₪ 889,135.93"
17.12.2024,,4494088,"₪ 253,489.36",,"₪ 2,097,502.34"
17.12.2024,,4494087,"₪ 51,832.93",,"₪ 2,350,991.70"
17.12.2024,,4494093,,"₪ 2,650,000.00","₪ 2,402,824.63"
16.12.2024,,620496,₪ 22.00,,"₪ -247,175.37"
16.12.2024,,620496,"₪ 15,200.00",,"₪ -247,153.37"
15.12.2024,,148939,₪ 2.70,,"₪ -231,953.37"
15.12.2024,,148939,"₪ 10,000.00",,"₪ -231,950.67"
15.12.2024,,64336,,"₪ 15,200.00","₪ -221,950.67"
11.12.2024,,59200,,"₪ 1,900.00","₪ -237,150.67"
10.12.2024,,51725,,"₪ 10,000.00","₪ -239,050.67"
04.12.2024,,41361,"₪ 77,000.00",,"₪ -249,050.67"
04.12.2024,,41361,₪ 37.80,,"₪ -172,050.67"
02.12.2024,,175076,"₪ 150,000.00",,"₪ -172,012.87"
02.12.2024,,173434,"₪ 50,000.00",,"₪ -22,012.87"
02.12.2024,,175076,₪ 37.80,,"₪ 27,987.13"
02.12.2024,,173434,₪ 37.80,,"₪ 28,024.93"
02.12.2024,,172410,,"₪ 272,590.00","₪ 28,062.73"
02.12.2024,,380113,₪ 22.00,,"₪ -244,527.27"
02.12.2024,,380113,"₪ 2,500.00",,"₪ -244,505.27"
01.12.2024,,548,₪ 54.65,,"₪ -242,005.27"
01.12.2024,,26144,,"₪ 7,500.00","₪ -241,950.62"
29.11.2024,,6080,₪ 28.88,,"₪ -249,450.62"
25.11.2024,,92642,₪ 2.70,,"₪ -249,421.74"
25.11.2024,,92642,"₪ 5,000.00",,"₪ -249,419.04"
21.11.2024,,12527,,"₪ 5,000.00","₪ -244,419.04"
20.11.2024,,47546,,"₪ 21,000.00","₪ -249,419.04"
19.11.2024,,7546001,"₪ 3,459.64",,"₪ -270,419.04"
18.11.2024,,47687,,"₪ 49,000.00","₪ -266,959.40"
17.11.2024,,89389,,"₪ 250,000.00","₪ -315,959.40"
17.11.2024,,4494090,"₪ 1,208,923.78",,"₪ -565,959.40"
17.11.2024,,4494089,"₪ 2,670,315.18",,"₪ 642,964.38"
17.11.2024,,4494088,"₪ 256,972.96",,"₪ 3,313,279.56"
17.11.2024,,4494087,"₪ 55,606.84",,"₪ 3,570,252.52"
17.11.2024,,4494092,,"₪ 2,650,000.00","₪ 3,625,859.36"
17.11.2024,,4494091,,"₪ 1,200,000.00","₪ 975,859.36"
17.11.2024,,620495,₪ 22.00,,"₪ -224,140.64"
17.11.2024,,620495,"₪ 15,200.00",,"₪ -224,118.64"
15.11.2024,,76850,,₪ 893.00,"₪ -208,918.64"
15.11.2024,,997606,,"₪ 15,200.00","₪ -209,811.64"
10.11.2024,,983935,,"₪ 10,000.00","₪ -225,011.64"
