תאריך,סוג תנועה,אסמכתא,חובה,זכות,יתרה מצטברת
27.01.2025,העברה עצמית,35814,,6000.00,-248422.21
27.01.2025,מב. הפועלים-י,99012,1577.00,,-254422.21
26.01.2025,העברה עצמית,90112,,49000.00,-255999.21
26.01.2025,הח.ע.עסקי*,1108,60.00,,-304999.21
24.01.2025,העברה עצמית,31336,,44000.00,-305059.21
24.01.2025,העברה עצמית,31332,,46000.00,-349059.21
23.01.2025,פרעון הלוואה,4494094,150059.99,,-395059.21
21.01.2025,מימסרים דחויים,150086,,5000.00,-244999.22
19.01.2025,העברה תוך יומי,48912,,65000.00,-249999.22
19.01.2025,פרעון הלוואה,7546001,3470.74,,-314999.22
17.01.2025,העברה עצמית,45827,,49000.00,-311528.48
17.01.2025,העברה עצמית,45602,,49500.00,-360528.48
17.01.2025,פרעון הלוואה,4494088,251808.16,,-410028.48
17.01.2025,פרעון הלוואה,4494087,51886.06,,-158220.32
16.01.2025,פרעון הלוואה,4494093,2517447.64,,-106334.26
16.01.2025,עמלת ממ"ד,880071,102.00,,2411113.38
16.01.2025,העמדת הלואה,4494094,,2650000.00,2411215.38
16.01.2025,שיק שהוחזר,620497,22.00,,-238784.62
16.01.2025,החזרת שיק,620497,15200.00,,-238762.62
15.01.2025,מימסרים דחויים,135278,,15200.00,-223562.62
12.01.2025,העברה תוך יומי,177126,,200000.00,-238762.62
12.01.2025,עמ.גל"י לבנקים,209964,2.70,,-38762.62
12.01.2025,עמ.גל"י לבנקים,177126,37.80,,-38759.92
12.01.2025,העברה דיגיטל,209964,,20539.00,-38722.12
12.01.2025,העברה עצמית,182410,,10000.00,-18183.12
12.01.2025,רשויות אינטרנט,176101,29297.00,,-8183.12
10.01.2025,העמדת הלואה,3066001,,500000.00,21113.88
10.01.2025,עמ.עריכת מסמך,3066001,4500.00,,-478886.12
10.01.2025,מימסרים דחויים,122717,,10000.00,-474386.12
08.01.2025,עמ הפק שיק ממד,880071,28.80,,-484386.12
08.01.2025,הפק' שיק מרוכז,231,13991.00,,-484357.32
03.01.2025,העברה תוך יומי,53008,,20000.00,-498348.32
03.01.2025,עמ.גל"י לבנקים,53008,37.80,,-478348.32
02.01.2025,העברה תוך יומי,77914,,80000.00,-478310.52
02.01.2025,עמ.גל"י לבנקים,77914,37.80,,-398310.52
02.01.2025,העברה עצמית,176446,,20000.00,-398272.72
01.01.2025,עמ.גל"י לבנקים,144136,2.70,,-418272.72
01.01.2025,העברה דיגיטל,144136,,10000.00,-418270.02
01.01.2025,ד.ניהול קבועים,2,220.00,,-408270.02
01.01.2025,דנח עס.ק.מטח,551,54.71,,-408050.02
01.01.2025,עמ.הקצאת אשראי,2,1208.47,,-407995.31
31.12.2024,דנ"ח פעולות,17730,46.21,,-406786.84
31.12.2024,ריבית חובה,17731,3920.60,,-406740.63
31.12.2024,מימסרים דחויים,96843,,5000.00,-402820.03
31.12.2024,שיק שהוחזר,380114,22.00,,-407820.03
31.12.2024,החזרת שיק,380114,2500.00,,-407798.03
30.12.2024,העברה תוך יומי,104831,,170000.00,-405298.03
30.12.2024,עמ.גל"י לבנקים,104831,37.80,,-235298.03
30.12.2024,מימסרים דחויים,92869,,2500.00,-235260.23
30.12.2024,עמ.הקצאת אשראי,13,15.36,,-237760.23
25.12.2024,מימסרים דחויים,84555,,2708.00,-237744.87
22.12.2024,מימסרים דחויים,80447,,5000.00,-240452.87
19.12.2024,העברה תוך יומי,2602612,,10000.00,-245452.87
19.12.2024,פרעון הלוואה,7546001,3459.94,,-255452.87
18.12.2024,העברה עצמית,50393,,48000.00,-251992.93
18.12.2024,העברה עצמית,49964,,49500.00,-299992.93
18.12.2024,העברה עצמית,49737,,49900.00,-349492.93
17.12.2024,פרעון הלוואה,4494093,150060.00,,-399392.93
17.12.2024,העברה עצמית,98922,,30000.00,-249332.93
17.12.2024,העברה עצמית,89083,,520000.00,-279332.93
17.12.2024,העברה עצמית,89081,,980000.00,-799332.93
17.12.2024,פרעון הלוואה,4494092,2668468.86,,-1779332.93
17.12.2024,פרעון הלוואה,4494091,1208366.41,,889135.93
17.12.2024,פרעון הלוואה,4494088,253489.36,,2097502.34
17.12.2024,פרעון הלוואה,4494087,51832.93,,2350991.70
17.12.2024,העמדת הלואה,4494093,,2650000.00,2402824.63
16.12.2024,שיק שהוחזר,620496,22.00,,-247175.37
16.12.2024,החזרת שיק,620496,15200.00,,-247153.37
15.12.2024,עמ.גל"י לבנקים,148939,2.70,,-231953.37
15.12.2024,העברה דיגיטל,148939,,10000.00,-231950.67
15.12.2024,מימסרים דחויים,64336,,15200.00,-221950.67
11.12.2024,מימסרים דחויים,59200,,1900.00,-237150.67
10.12.2024,מימסרים דחויים,51725,,10000.00,-239050.67
04.12.2024,העברה תוך יומי,41361,,77000.00,-249050.67
04.12.2024,עמ.גל"י לבנקים,41361,37.80,,-172050.67
02.12.2024,העברה תוך יומי,175076,,150000.00,-172012.87
02.12.2024,העברה תוך יומי,173434,,50000.00,-22012.87
02.12.2024,עמ.גל"י לבנקים,175076,37.80,,27987.13
02.12.2024,עמ.גל"י לבנקים,173434,37.80,,28024.93
02.12.2024,העברה דיגיטל,172410,,272590.00,28062.73
02.12.2024,שיק שהוחזר,380113,22.00,,-244527.27
02.12.2024,החזרת שיק,380113,2500.00,,-244505.27
01.12.2024,דנח עס.ק.מטח,548,54.65,,-242005.27
01.12.2024,מימסרים דחויים,26144,,7500.00,-249450.62
29.11.2024,דנ"ח פעולות,6080,28.88,,-249421.74
25.11.2024,עמ.גל"י לבנקים,92642,2.70,,-249419.04
25.11.2024,העברה דיגיטל,92642,,5000.00,-244419.04
21.11.2024,מימסרים דחויים,12527,,5000.00,-249419.04
20.11.2024,העברה עצמית,47546,,21000.00,-270419.04
19.11.2024,פרעון הלוואה,7546001,3459.64,,-266959.40
18.11.2024,העברה עצמית,47687,,49000.00,-315959.40
17.11.2024,העברה עצמית,89389,,250000.00,-565959.40
17.11.2024,פרעון הלוואה,4494090,1208923.78,,642964.38
17.11.2024,פרעון הלוואה,4494089,2670315.18,,3313279.56
17.11.2024,פרעון הלוואה,4494088,256972.96,,3570252.52
17.11.2024,פרעון הלוואה,4494087,55606.84,,3625859.36
17.11.2024,העמדת הלואה,4494092,,2650000.00,975859.36
17.11.2024,העמדת הלואה,4494091,,1200000.00,-224140.64
17.11.2024,שיק שהוחזר,620495,22.00,,-224118.64
17.11.2024,החזרת שיק,620495,15200.00,,-208918.64
15.11.2024,אלף שלנו ריט-י,76850,893.00,,-209811.64
15.11.2024,מימסרים דחויים,997606,,15200.00,-225011.64
10.11.2024,מימסרים דחויים,983935,,10000.00,-235011.64
01.11.2024,דנח עס.ק.מטח,544,56.42,,-234955.22
31.10.2024,דנ"ח פעולות,6072,54.47,,-234900.75
31.10.2024,מימסרים דחויים,958919,,5000.00,-239900.75
31.10.2024,שיק שהוחזר,380112,22.00,,-239878.75
31.10.2024,החזרת שיק,380112,2500.00,,-237378.75
30.10.2024,עמ.גל"י לבנקים,53552,2.70,,-237376.05
30.10.2024,העברה דיגיטל,53552,,5978.00,-231398.05
30.10.2024,מימסרים דחויים,954809,,2500.00,-233898.05
28.10.2024,עמ.גל"י לבנקים,72288,2.70,,-233895.35
28.10.2024,העברה דיגיטל,72288,,200000.00,-33895.35
28.10.2024,העברה עצמית,94351,,1900000.00,1866104.65
27.10.2024,עמ.גל"י לבנקים,118474,2.70,,1866107.35
27.10.2024,העברה דיגיטל,118474,,100000.00,1966107.35
23.10.2024,העברה תוך יומי,22902,,100000.00,2066107.35
23.10.2024,עמ.גל"י לבנקים,22902,37.80,,2066145.15
21.10.2024,מימסרים דחויים,942679,,5000.00,2061145.15
21.10.2024,מימסרים דחויים,938466,,8000.00,2053145.15
20.10.2024,פרעון הלוואה,7546001,3471.13,,2056616.28
20.10.2024,מימסרים דחויים,938466,,5393.00,2051223.28
16.10.2024,העברה תוך יומי,54477,,750000.00,2801223.28
16.10.2024,עמ.גל"י לבנקים,54477,37.80,,2801261.08
16.10.2024,פרעון הלוואה,4494086,1202792.64,,4004053.72
16.10.2024,מימסרים דחויים,934624,,1215737.00,2788316.72
16.10.2024,העמדת הלואה,4494090,,1200000.00,1588316.72
16.10.2024,שיק שהוחזר,620494,22.00,,1588338.72
16.10.2024,החזרת שיק,620494,15200.00,,1603538.72
15.10.2024,העברה תוך יומי,178755,,96998.00,1700536.72
15.10.2024,העברה תוך יומי,176967,,80000.00,1780536.72
15.10.2024,עמ.גל"י לבנקים,178755,37.80,,1780574.52
15.10.2024,עמ.גל"י לבנקים,176967,37.80,,1780612.32
15.10.2024,פרעון הלוואה,4494085,2668468.86,,4449081.18
15.10.2024,מימסרים דחויים,928243,,17400.00,4431681.18
15.10.2024,העמדת הלואה,4494089,,2650000.00,1781681.18
14.10.2024,מימסרים דחויים,926972,,5390.00,1776291.18
14.10.2024,מימסרים דחויים,923819,,7928.00,1768363.18
13.10.2024,העברה תוך יומי,313650,,92755.00,1861118.18
13.10.2024,העברה תוך יומי,62260,,100000.00,1961118.18
13.10.2024,עמ.גל"י לבנקים,313650,37.80,,1961155.98
13.10.2024,עמ.גל"י לבנקים,62260,37.80,,1961193.78
10.10.2024,מימסרים דחויים,916239,,10000.00,1951193.78
